uniqPlot;swrad_m1;swrad_m2;swrad_m3;swrad_m4;swrad_m5;swrad_m6;swrad_m7;swrad_m8;swrad_m9;swrad_m10;swrad_m11;swrad_m12;elev;slope;aspect
pasqu_1986_c;NA;NA;NA;NA;NA;14.32840443;16.26247215;14.07909393;10.12219238;6.399841785;NA;NA;2696.62145;12.32490059;179.4518323
pasqu_1986_d;NA;NA;NA;NA;NA;14.45091343;16.44773865;14.2103014;10.13552189;6.322908401;NA;NA;2695.773686;2.701759419;219.1516397
pasqu_1986_e;NA;NA;NA;NA;NA;14.35387897;16.31022644;14.12124538;10.11211395;6.355446815;NA;NA;2698.989778;7.361157283;202.4336957
pasqu_2010_a;NA;NA;NA;NA;NA;14.14474297;16.08266258;13.8654995;9.860816956;6.112065315;NA;NA;2707.259586;4.544998625;318.9924684
pasqu_2010_b;NA;NA;NA;NA;NA;14.24127865;16.18830109;13.95080376;9.916874886;6.132987499;NA;NA;2704.800494;7.260500268;326.2539402
pasqu_2010_c;NA;NA;NA;NA;NA;14.3693924;16.33586884;14.09685707;10.04592323;6.23679924;NA;NA;2699.355578;5.852447263;301.9051641
pasqu_2010_d;NA;NA;NA;NA;NA;14.40090275;16.33728218;14.11990929;10.11567497;6.325518608;NA;NA;2693.680582;9.857995559;266.4589052
pasqu_2010_e;NA;NA;NA;NA;NA;14.09772968;15.97770119;13.76028347;9.798099518;6.052119732;NA;NA;2695.141787;14.23083483;314.8153775
plata_1895_a;NA;NA;NA;NA;NA;NA;11.99457455;7.578698635;2.18008256;NA;NA;NA;528.9965129;4.759018301;308.5017613
plata_1895_b;NA;NA;NA;NA;NA;NA;11.89217377;7.524359226;2.170511246;NA;NA;NA;532.9187235;14.60980377;307.4053815
plata_1895_c;NA;NA;NA;NA;NA;NA;11.91135406;7.54696846;2.17897439;NA;NA;NA;529.4830519;11.48219903;19.87873599
plata_1895_d;NA;NA;NA;NA;NA;NA;11.89548397;7.536020756;2.176796436;NA;NA;NA;523.6609816;12.11170195;40.73311668
plata_1895_e;NA;NA;NA;NA;NA;NA;11.8927269;7.513513565;2.16756916;0.178513184;NA;NA;519.0033931;10.83434989;94.15547943
plata_1936_a;NA;NA;NA;NA;NA;NA;11.99171066;7.586690903;2.186125755;0.179164588;NA;NA;520.2388289;6.643083404;22.83710155
plata_1936_b;NA;NA;NA;NA;NA;NA;11.97884083;7.58215189;2.185778379;NA;NA;NA;532.2515655;9.260044169;31.1463149
plata_1936_c;NA;NA;NA;NA;NA;NA;12.03307152;7.609909058;2.190599918;NA;NA;NA;537.4329569;4.997488986;37.41987772
plata_1936_d;NA;NA;NA;NA;NA;NA;12.03894424;7.612383842;2.191087008;NA;NA;NA;543.3072593;5.479877493;42.40189262
plata_1936_e;NA;NA;NA;NA;NA;NA;11.99457455;7.578698635;2.18008256;NA;NA;NA;528.9965129;4.759018301;308.5017613
plata_1948_a;NA;NA;NA;NA;NA;NA;12.00676537;7.582094669;2.179318905;NA;NA;NA;530.6549921;2.027883584;267.0713961
plata_1948_b;NA;NA;NA;NA;NA;NA;12.02143669;7.577031136;2.176896811;NA;NA;NA;538.133546;8.363118907;216.2822814
plata_1948_c;NA;NA;NA;NA;NA;NA;12.06127357;7.621954918;2.191566467;NA;NA;NA;543.825635;4.491455744;327.8034085
plata_1948_d;NA;NA;NA;NA;NA;NA;12.0492239;7.611347198;2.189373255;NA;NA;NA;540.4138038;4.980283977;90.0797386
plata_1948_e;NA;NA;NA;NA;NA;NA;11.99168777;7.578858376;2.182766676;0.17908141;NA;NA;527.2922529;7.316883076;76.71038857
plata_1960_a;NA;NA;NA;NA;NA;NA;12.00068951;7.587854862;2.184293509;NA;NA;NA;547.0141334;4.407601235;31.31427266
plata_1960_b;NA;NA;NA;NA;NA;NA;12.03228188;7.602670193;2.187586308;NA;NA;NA;539.1825312;4.394809596;78.44271226
plata_1960_c;NA;NA;NA;NA;NA;NA;12.07752895;7.627188683;2.19157362;NA;NA;NA;544.4147336;0.323516086;297.0905184
plata_1960_d;NA;NA;NA;NA;NA;NA;12.03432369;7.59197855;2.181262255;NA;NA;NA;538.5178233;6.136810023;230.8964009
plata_1960_e;NA;NA;NA;NA;NA;NA;12.03423119;7.603457928;2.186252356;NA;NA;NA;538.7438449;2.696141173;354.7996409
plata_1990_a;NA;NA;NA;NA;NA;NA;11.98109627;7.577463627;2.182028532;NA;NA;NA;545.261669;6.82261412;356.5756325
plata_1990_b;NA;NA;NA;NA;NA;NA;11.99867821;7.587387085;2.184216499;NA;NA;NA;540.9132663;6.974305302;352.5774091
plata_1990_c;NA;NA;NA;NA;NA;NA;12.03764343;7.605745792;2.18690443;NA;NA;NA;543.9964187;1.295333559;343.7807435
plata_1990_d;NA;NA;NA;NA;NA;NA;12.01257133;7.592551708;2.184439659;NA;NA;NA;539.7920828;6.307656617;329.7006933
plata_1990_e;NA;NA;NA;NA;NA;NA;11.99737835;7.584431648;2.183258533;NA;NA;NA;547.9969803;3.959666879;48.02407393
rotmo_1858_a;NA;NA;NA;NA;6.8910532;12.14616871;13.39285088;11.59405422;8.170401573;4.734309196;NA;NA;2285.535634;2.310529433;347.4281219
rotmo_1858_b;NA;NA;NA;NA;6.982822418;12.20996189;13.45801449;11.6662569;8.330321312;4.763242245;NA;NA;2286.7635;2.132122003;274.6989759
rotmo_1858_c;NA;NA;NA;NA;6.982822418;12.20996189;13.45801449;11.6662569;8.330321312;4.763242245;NA;NA;2286.7635;2.132122003;274.6989759
rotmo_1858_d;NA;NA;NA;NA;6.990662575;12.21961021;13.4697628;11.6696167;8.325945854;4.762275696;NA;NA;2286.354227;3.273619353;317.8457581
rotmo_1858_e;NA;NA;NA;NA;6.94578886;12.16743851;13.42239952;11.63429546;8.291422844;4.754284382;NA;NA;2285.566504;2.722321387;38.35745472
rotmo_1872_a;NA;NA;NA;NA;6.65182972;11.80909634;13.01644897;11.23166561;7.791362286;4.627304077;NA;NA;2299.085508;14.64136009;51.39881685
rotmo_1872_b;NA;NA;NA;NA;6.701695442;11.91613388;13.14487934;11.34665203;7.86632061;4.666915894;NA;NA;2294.523647;12.11447398;52.09954006
rotmo_1872_c;NA;NA;NA;NA;6.734924793;12.00425243;13.23560238;11.43877888;8.047649384;4.685142994;NA;NA;2291.052606;8.697508733;40.83317268
rotmo_1872_d;NA;NA;NA;NA;6.855931282;12.0476408;13.28166389;11.48346615;8.081734657;4.689698219;NA;NA;2287.787796;5.034547303;22.96814963
rotmo_1872_e;NA;NA;NA;NA;6.900407314;12.0928545;13.32923126;11.53859043;8.127506256;4.705908298;NA;NA;2287.183249;2.414705228;5.846480405
rotmo_1910_a;NA;NA;NA;NA;6.694293022;11.85099316;13.06551743;11.27120495;7.964739799;4.75880909;NA;NA;2308.525357;12.0480252;59.37225893
