Glacier	Year	Plot	code	lon	lat	time_retreat	ph1	c	n	p	ph	lg_n	lg_p	lg_time	ph.s	time.s	n.s	p.s
explo	1950	c	explo_1950_c1	-73.17035	-46.495014	68	4.91	19.54721642	1.091343522	46403.4467	4.91	0.096530818	10.74512902	4.219507705	-1.426266574	0.237201215	2.842172609	1.995325153
explo	1950	d	explo_1950_d1	-73.170539	-46.495111	68	5.8	1.348732352	0.085785054	8795.660191	5.8	-2.345648622	9.082013719	4.219507705	-0.684976621	0.237201215	0.861407706	0.867365382
explo	1950	e	explo_1950_e1	-73.170616	-46.49519	68	7.19	0.963483334	0.050746739	4634.617981	7.19	-2.801041879	8.441309054	4.219507705	0.472768363	0.237201215	0.492054429	0.432826004
explo	1997	a	explo_1997_a1	-73.171197	-46.497222	21	7.85	0.525278568	0	1269.573825	7.85	-4.605170186	7.146436552	3.044522438	1.022489002	-0.809227062	-0.971209888	-0.445383758
explo	1997	b	explo_1997_b1	-73.171397	-46.49719	21	5.76	0.190044373	0	10669.55149	5.76	-4.605170186	9.275149309	3.044522438	-0.718293023	-0.809227062	-0.971209888	0.998354
explo	1997	c	explo_1997_c1	-73.171484	-46.497181	21	4.94	0.161464959	0	4955.781731	4.94	-4.605170186	8.508310201	3.044522438	-1.401279272	-0.809227062	-0.971209888	0.47826759
explo	1997	d	explo_1997_d1	-73.17199	-46.497119	21	5.39	0.272607863	0	4553.349758	5.39	-4.605170186	8.423618452	3.044522438	-1.026469745	-0.809227062	-0.971209888	0.420827865
explo	1997	e	explo_1997_e1	-73.172491	-46.496995	21	5.05	0.29898271	0.016220832	7527.747778	5.05	-3.64120106	8.926351176	3.044522438	-1.309659166	-0.809227062	-0.189368808	0.761791772
ferdi	1900	a	ferdi_1900_a1	16.36014	78.71218	118	7.53	6.823775768	0.082787908	365.4534783	7.885	-2.377438954	5.901138989	4.770684624	1.051640855	0.728072999	0.835623698	-1.289970755
ferdi	1900	b	ferdi_1900_b1	16.3761	78.71307	118	8	4.800263882	0.090444702	410.4628938	7.95	-2.29814793	6.017285532	4.770684624	1.105780008	0.728072999	0.899933829	-1.211197726
ferdi	1900	c	ferdi_1900_c1	16.38813	78.71377	118	8.31	1.900850534	0.048989853	445.5167213	8.3	-2.830389838	6.09923478	4.770684624	1.397298529	0.728072999	0.468251343	-1.155618023
ferdi	1900	d	ferdi_1900_d1	16.41141	78.71451	118	8.54	1.712533951	0.0259	460.2657832	8.32	-3.327017983	6.131804112	4.770684624	1.413956731	0.728072999	0.065453913	-1.133528817
ferdi	1900	e	ferdi_1900_e1	16.4177	78.71335	118	8.48	3.131127357	0.057940719	427.3729474	8.295	-2.689119736	6.057657045	4.770684624	1.393133979	0.728072999	0.582830499	-1.183816917
ferdi	1960	a	ferdi_1960_a1	16.35234	78.71224	58	7.18	4.615071297	0.078341832	468.7187709	7.555	-2.426541536	6.150002953	4.060443011	0.776780535	0.095540039	0.79579834	-1.12118598
ferdi	1960	b	ferdi_1960_b1	16.36018	78.7122	58	8.43	2.080285788	0.058421603	239.178229	8.255	-2.682066668	5.477209002	4.060443011	1.359817577	0.095540039	0.588550991	-1.577488987
ferdi	1960	c	ferdi_1960_c1	16.3756	78.71324	58	8.32	2.937215805	0.05721093	371.5355046	8.11	-2.699919403	5.917644431	4.060443011	1.239045618	0.095540039	0.574071273	-1.278776417
ferdi	1960	d	ferdi_1960_d1	16.39017	78.71306	58	8.54	1.586432695	0.01885	449.8702954	8.385	-3.545645286	6.108959309	4.060443011	1.468095885	0.095540039	-0.111866918	-1.149022643
ferdi	1960	e	ferdi_1960_e1	16.38961	78.71303	58	8.59	1.247626781	0.040834236	159.2438583	8.39	-2.979185215	5.070436727	4.060443011	1.472260435	0.095540039	0.347568704	-1.853370498
ferdi	1990	a	ferdi_1990_a1	16.35556	78.71044	28	8.47	1.87612772	0.069189633	177.8932926	8.285	-2.535909882	5.181183891	3.33220451	1.384804879	-0.553020739	0.707093564	-1.778259443
ferdi	1990	b	ferdi_1990_b1	16.35597	78.71059	28	7.96	5.042811394	0.087634154	412.7793998	8.1	-2.326527912	6.022913309	3.33220451	1.230716517	-0.553020739	0.876915834	-1.207380849
ferdi	1990	c	ferdi_1990_c1	16.35571	78.71059	28	8.36	4.667941093	0.068600893	292.8248343	8.31	-2.543372218	5.679574595	3.33220451	1.40562763	-0.553020739	0.701041129	-1.440240386
ferdi	1990	d	ferdi_1990_d1	16.35087	78.71157	28	8.22	6.26111412	0.067821047	1318.951876	8.305	-2.553343358	7.184592667	3.33220451	1.40146308	-0.553020739	0.692953892	-0.419505479
ferdi	1990	e	ferdi_1990_e1	16.34805	78.71218	28	8.25	6.647767067	0.086285531	190.2701986	8.25	-2.340437222	5.24844516	3.33220451	1.355653026	-0.553020739	0.865634488	-1.732641436
ferdi	2009	a	ferdi_2009_a1	16.33987	78.71172	9	8.25	3.609157324	0.064718302	284.7413583	8.545	-2.59403021	5.651581254	2.197224577	1.601361494	-1.563820728	0.659954232	-1.459226059
ferdi	2009	b	ferdi_2009_b1	16.341909	78.711555	9	8.26	6.368553162	0.081404886	271.5404154	8.24	-2.392456349	5.604110988	2.197224577	1.347323926	-1.563820728	0.823443623	-1.491421391
ferdi	2009	c	ferdi_2009_c1	16.34403	78.71128	9	8.41	2.090995789	0.048049881	371.3162449	8.385	-2.846452621	5.917054112	2.197224577	1.468095885	-1.563820728	0.455223391	-1.279176784
ferdi	2009	d	ferdi_2009_d1	16.345849	78.71117	9	8.43	1.741972208	0.043868288	289.0614796	8.455	-2.921213332	5.666639398	2.197224577	1.526399589	-1.563820728	0.394587636	-1.449013309
ferdi	2009	e	ferdi_2009_e1	16.34755	78.71109	9	8.38	1.110695004	0.04353685	219.92567	8.39	-2.927385075	5.393289625	2.197224577	1.472260435	-1.563820728	0.389581955	-1.634404873
flaaj	1890	a	flaaj_1890_a1	-15.553984	64.31473	129	6.77	1.819448352	0.086251467	6067.079048	6.77	-2.34079106	8.710632557	4.859812404	0.122946138	0.807449168	0.865347502	0.615486868
flaaj	1890	b	flaaj_1890_b1	-15.553427	64.314563	129	7.22	0.224259019	0	2682.291681	7.22	-4.605170186	7.894426813	4.859812404	0.497755665	0.807449168	-0.971209888	0.061918967
flaaj	1890	c	flaaj_1890_c1	-15.5525	64.314459	129	6.57	1.420633793	0.102629647	5624.041971	6.57	-2.183650306	8.634805896	4.859812404	-0.043635874	0.807449168	0.99279878	0.564059632
flaaj	1890	d	flaaj_1890_d1	-15.551819	64.314542	129	6.79	1.314858556	0.07654582	6632.01972	6.79	-2.447081298	8.79966467	4.859812404	0.139604339	0.807449168	0.779139269	0.675870319
flaaj	1890	e	flaaj_1890_e1	-15.551036	64.314539	129	6.57	1.21964705	0.072082579	3438.847023	6.57	-2.500029476	8.142891527	4.859812404	-0.043635874	0.807449168	0.736194885	0.230432961
flaaj	1930	a	flaaj_1930_a1	-15.560776	64.318851	89	6.7	0.967718899	0.042423502	3408.534979	6.7	-2.948400284	8.134037853	4.48863637	0.064642433	0.476884088	0.372537266	0.224428213
flaaj	1930	b	flaaj_1930_b1	-15.560189	64.318717	89	7.24	0.267793894	0	2259.056914	7.24	-4.605170186	7.72270271	4.48863637	0.514413866	0.476884088	-0.971209888	-0.054547931
flaaj	1930	c	flaaj_1930_c1	-15.559815	64.318456	89	7.04	0.362971097	0.025319956	3261.251559	7.04	-3.343307142	8.089866314	4.48863637	0.347831854	0.476884088	0.052242356	0.194470147
flaaj	1930	d	flaaj_1930_d1	-15.559562	64.318211	89	6.87	1.87089777	0.097733453	5104.803907	6.87	-2.228095131	8.537937318	4.48863637	0.206237144	0.476884088	0.956751163	0.498361324
flaaj	1930	e	flaaj_1930_e1	-15.559253	64.317934	89	6.77	1.219199657	0.063314296	5444.768163	6.77	-2.612999651	8.602410457	4.48863637	0.122946138	0.476884088	0.644568793	0.542088363
flaaj	1945	a	flaaj_1945_a1	-15.526604	64.334501	74	7.21	0.267870188	0.024758907	2541.380914	7.21	-3.359319422	7.840462879	4.304065093	0.489426564	0.312507046	0.039255365	0.025319492
flaaj	1945	b	flaaj_1945_b1	-15.52701	64.334042	74	7.2	0.0792	0	2042.109044	7.2	-4.605170186	7.621738398	4.304065093	0.481097463	0.312507046	-0.971209888	-0.123024051
flaaj	1945	c	flaaj_1945_c1	-15.527837	64.333685	74	6.72	0.853072405	0.055163056	4310.092496	6.72	-2.730862602	8.368714644	4.304065093	0.081300635	0.312507046	0.548974345	0.383590948
flaaj	1945	d	flaaj_1945_d1	-15.528562	64.333302	74	7.14	0.347805262	0	1959.430567	7.14	-4.605170186	7.580409183	4.304065093	0.43112286	0.312507046	-0.971209888	-0.151054393
flaaj	1945	e	flaaj_1945_e1	-15.528432	64.332681	74	7.25	0.227922007	0	2508.716313	7.25	-4.605170186	7.827526472	4.304065093	0.522742966	0.312507046	-0.971209888	0.016545749
flaaj	1989	a	flaaj_1989_a1	-15.534569	64.337465	30	7.73	0.062869221	0	995.1083036	7.73	-4.605170186	6.902851579	3.401197382	0.922539795	-0.491576486	-0.971209888	-0.61058821
flaaj	1989	b	flaaj_1989_b1	-15.53475	64.337693	30	7.29	0.17349799	0	2693.896149	7.29	-4.605170186	7.898743807	3.401197382	0.556059369	-0.491576486	-0.971209888	0.064846843
flaaj	1989	c	flaaj_1989_c1	-15.53511	64.337928	30	7.67	0.052914768	0	3040.840468	7.67	-4.605170186	8.019889226	3.401197382	0.872565192	-0.491576486	-0.971209888	0.147010214
flaaj	1989	d	flaaj_1989_d1	-15.534737	64.337235	30	7.57	0.100063227	0	2516.588477	7.57	-4.605170186	7.830659484	3.401197382	0.789274186	-0.491576486	-0.971209888	0.018670624
flaaj	1989	e	flaaj_1989_e1	-15.535059	64.337085	30	7.97	0.018015711	0	1517.56895	7.97	-4.605170186	7.324864958	3.401197382	1.12243821	-0.491576486	-0.971209888	-0.324369861
flaaj	2010	a	flaaj_2010_a1	-15.540039	64.337915	9	8.06	0.043812692	0	2067.301728	8.06	-4.605170186	7.633999523	2.197224577	1.197400115	-1.563820728	-0.971209888	-0.114708298
flaaj	2010	b	flaaj_2010_b1	-15.540025	64.338098	9	7.89	0.024792867	0	1799.672559	7.89	-4.605170186	7.495360016	2.197224577	1.055805405	-1.563820728	-0.971209888	-0.208736527
flaaj	2010	c	flaaj_2010_c1	-15.540132	64.338276	9	8.07	0.015248429	0	2087.828443	8.07	-4.605170186	7.643879782	2.197224577	1.205729216	-1.563820728	-0.971209888	-0.108007298
flaaj	2010	d	flaaj_2010_d1	-15.540311	64.338443	9	8.14	0.021807365	0	1056.862322	8.14	-4.605170186	6.963059724	2.197224577	1.26403292	-1.563820728	-0.971209888	-0.56975378
flaaj	2010	e	flaaj_2010_e1	-15.540407	64.338606	9	8.09	0.02204689	0	2283.987218	8.09	-4.605170186	7.733677974	2.197224577	1.222387417	-1.563820728	-0.971209888	-0.047104276
forni	1999	a	forni_1999_a1	10.58461	46.40664	19	4.23	0.3719	0.0277	6474.075407	4.23	-3.278095185	8.775561082	2.944438979	-1.992645415	-0.898360232	0.105133456	0.659522759
forni	1999	b	forni_1999_b1	10.58451	46.40665	19	4.95	0.2432	0.0243	10643.11372	4.95	-3.372609925	9.272668363	2.944438979	-1.392950172	-0.898360232	0.028475911	0.996671371
forni	1999	c	forni_1999_c1	10.58435	46.40658	19	6.38	0.3385	0.0328	7824.722114	6.38	-3.151217176	8.965043502	2.944438979	-0.201888786	-0.898360232	0.208039697	0.788033721
forni	2001	a	forni_2001_a1	10.5848	46.40613	17	5.68	0.2915	0.0276	4661.479988	5.68	-3.280751229	8.447088271	2.833213344	-0.784925828	-0.997416495	0.102979233	0.43674559
forni	2001	b	forni_2001_b1	10.58455	46.40614	17	5.07	0.2623	0	7027.517746	5.07	-4.605170186	8.857588828	2.833213344	-1.293000965	-0.997416495	-0.971209888	0.715155701
forni	2001	c	forni_2001_c1	10.58446	46.40598	17	6.23	0.187	0.0224	5162.686232	6.23	-3.429596856	8.549212311	2.833213344	-0.326825295	-0.997416495	-0.017744163	0.506008262
forni	2003	a	forni_2003_a1	10.58483	46.4058	15	4.88	0.2548	0.02	10549.16389	4.88	-3.506557897	9.263801884	2.708050201	-1.451253876	-1.108885341	-0.080164526	0.990657938
forni	2003	b	forni_2003_b1	10.58476	46.40578	15	6.45	0.2348	0.02	1328.722616	6.45	-3.506557897	7.191973321	2.708050201	-0.143585082	-1.108885341	-0.080164526	-0.414499764
forni	2003	c	forni_2003_c1	10.58461	46.40574	15	6.13	0.2765	0	5905.227603	6.13	-4.605170186	8.683593272	2.708050201	-0.410116301	-1.108885341	-0.971209888	0.597148256
forni	2005	a	forni_2005_a1	10.58512	46.4052	13	5.03	0.3657	0.04	6855.774911	5.03	-2.995732274	8.832846629	2.564949357	-1.326317367	-1.236329296	0.334147973	0.698375021
forni	2005	b	forni_2005_b1	10.58496	46.40513	13	6.71	0.2747	0.02	1492.48698	6.71	-3.506557897	7.308199122	2.564949357	0.072971534	-1.236329296	-0.080164526	-0.335672982
forni	2005	c	forni_2005_c1	10.58481	46.40516	13	4.32	0.1456	0	6640.585699	4.32	-4.605170186	8.800955446	2.564949357	-1.91768351	-1.236329296	-0.971209888	0.676745751
forni	2007	a	forni_2007_a1	10.58512	46.40491	11	6.67	0.1692	0.021	2413.054097	6.67	-3.473768074	7.788648484	2.397895273	0.039655132	-1.38510573	-0.053569867	-0.00982212
forni	2007	b	forni_2007_b1	10.5851	46.40492	11	6.76	0.1678	0.0208	3665.591669	6.76	-3.480240589	8.206745039	2.397895273	0.114617037	-1.38510573	-0.058819493	0.273739756
forni	2007	c	forni_2007_c1	10.58488	46.40482	11	6.37	0.2458	0.0246	1306.625733	6.37	-3.363901597	7.175203317	2.397895273	-0.210217886	-1.38510573	0.035538926	-0.425873534
forni	2009	a	forni_2009_a1	10.5849	46.40474	9	6.02	0.1669	0	1373.260735	6.02	-4.605170186	7.224943289	2.197224577	-0.501736407	-1.563820728	-0.971209888	-0.392138838
forni	2009	b	forni_2009_b1	10.58501	46.40477	9	5.9	0.1412	0	5407.7029	5.9	-4.605170186	8.595579679	2.197224577	-0.601685615	-1.563820728	-0.971209888	0.537455586
forni	2009	c	forni_2009_c1	10.58507	46.40479	9	6.48	0.1624	0	3462.931377	6.48	-4.605170186	8.149870728	2.197224577	-0.11859778	-1.563820728	-0.971209888	0.235166402
forni	2011	a	forni_2011_a1	10.58521	46.40468	7	6.25	0.2642	0	3117.690575	6.25	-4.605170186	8.044847806	1.945910149	-0.310167094	-1.787638449	-0.971209888	0.163937648
forni	2011	b	forni_2011_b1	10.58503	46.40461	7	5.43	0.2017	0	1110.675395	5.43	-4.605170186	7.012723573	1.945910149	-0.993153343	-1.787638449	-0.971209888	-0.536070713
forni	2011	c	forni_2011_c1	10.58496	46.40463	7	6.66	0.1466	0.0196	1055.600823	6.66	-3.519980918	6.961865384	1.945910149	0.031326031	-1.787638449	-0.091051461	-0.570563806
forni	2013	a	forni_2013_a1	10.58547	46.40468	5	6.14	0.1476	0.0177	2693.497802	6.14	-3.586322866	7.898595926	1.609437912	-0.4017872	-2.087296727	-0.144859056	0.064746547
forni	2013	b	forni_2013_b1	10.58556	46.40466	5	5.41	0.1841	0.02	1075.151817	5.41	-3.506557897	6.980217156	1.609437912	-1.009811544	-2.087296727	-0.080164526	-0.558117249
forni	2013	c	forni_2013_c1	10.58566	46.40466	5	4.78	0.163	0	1958.007137	4.78	-4.605170186	7.579682468	1.609437912	-1.534544882	-2.087296727	-0.971209888	-0.151547267
forni	2015	a	forni_2015_a1	10.58517	46.40368	3	5.95	0.1514	0.02	923.9165483	5.95	-3.506557897	6.828621752	1.098612289	-0.560040112	-2.542232114	-0.080164526	-0.66093244
forni	2015	b	forni_2015_b1	10.5853	46.40377	3	5.51	0.1395	0.02	2279.58462	5.51	-3.506557897	7.731748521	1.098612289	-0.926520538	-2.542232114	-0.080164526	-0.048412872
forni	2015	c	forni_2015_c1	10.58541	46.40377	3	4.67	0.144	0	3415.828283	4.67	-4.605170186	8.136175285	1.098612289	-1.626164989	-2.542232114	-0.971209888	0.225877865
forni	2017	a	forni_2017_a1	10.58549	46.40311	1	4.88	0.1613	0	4013.795637	4.88	-4.605170186	8.297492615	0	-1.451253876	-3.520643501	-0.971209888	0.335286671
forni	2017	b	forni_2017_b1	10.58549	46.40306	1	3.35	0.1184	0	3966.844484	3.35	-4.605170186	8.285726217	0	-2.725606268	-3.520643501	-0.971209888	0.327306452
forni	2017	c	forni_2017_c1	10.58575	46.4031	1	4.85	0.1521	0	4627.379359	4.85	-4.605170186	8.439745974	0	-1.476241178	-3.520643501	-0.971209888	0.43176589
frajo	1800	a	frajo_1800_a1	170.170025	-43.41855715	220	7.41	12.00255489	0.61539197	36939.52876	7.41	-0.469376674	10.5170375	5.393627546	0.656008576	1.282858754	2.383185165	1.840628687
frajo	1800	b	frajo_1800_b1	170.1698311	-43.41874143	220	7.77	12.99729633	0.691373646	52594.58954	7.77	-0.354714515	10.87036853	5.393627546	0.955856198	1.282858754	2.476183565	2.080265226
frajo	1800	c	frajo_1800_c1	170.1696339	-43.41899765	220	7.86	8.503907204	0.439279646	35603.38845	7.86	-0.800109766	10.48019609	5.393627546	1.030818103	1.282858754	2.114939315	1.815642072
frajo	1800	d	frajo_1800_d1	170.1691503	-43.41930081	220	7.84	7.38243866	0.31736359	23719.4901	7.84	-1.11668383	10.07405236	5.393627546	1.014159902	1.282858754	1.858177349	1.540186848
frajo	1800	e	frajo_1800_e1	170.168817	-43.41956266	220	8.66	11.96273613	0.512267351	39498.4036	8.66	-0.649575655	10.58401553	5.393627546	1.697146151	1.282858754	2.237032179	1.886054601
frajo	1893	a	frajo_1893_a1	170.1674664	-43.42574182	127	4.56	14.37745094	0.748103797	16071.24815	4.56	-0.276934967	9.684787126	4.844187086	-1.717785095	0.793533441	2.539267791	1.276178982
frajo	1893	b	frajo_1893_b1	170.1675676	-43.4256903	127	7.24	8.461348534	0.466690421	14123.81004	7.24	-0.740888011	9.555617307	4.844187086	0.514413866	0.793533441	2.162971974	1.188573295
frajo	1893	c	frajo_1893_c1	170.1674218	-43.42590278	127	4.09	8.06821537	0.449024171	9974.915283	4.09	-0.778652411	9.207828749	4.844187086	-2.109252823	0.793533441	2.132342612	0.952695781
frajo	1893	d	frajo_1893_d1	170.1674019	-43.42606436	127	8.13	3.470992327	0.218860447	15246.23852	8.13	-1.474642861	9.632088097	4.844187086	1.255703819	0.793533441	1.567849507	1.240437393
frajo	1893	e	frajo_1893_e1	170.1675351	-43.42612168	127	8.35	8.942234039	0.429371715	19005.04474	8.35	-0.822409494	9.852459736	4.844187086	1.438944032	0.793533441	2.096852798	1.389898073
frajo	1934	a	frajo_1934_a1	170.1684202	-43.42753921	86	7.05	2.95720458	0.218223065	7916.392908	7.05	-1.477431772	8.97669094	4.454347296	0.356160954	0.446346636	1.56558752	0.795933258
frajo	1934	b	frajo_1934_b1	170.1685154	-43.42735249	86	7.94	5.431233883	0.459419966	16268.56129	7.94	-0.756257462	9.696989769	4.454347296	1.097450908	0.446346636	2.150506359	1.284455072
frajo	1934	d	frajo_1934_d1	170.1684293	-43.42708024	86	8.65	4.35452652	0.38655147	16378.43691	8.65	-0.924949437	9.703720926	4.454347296	1.68881705	0.446346636	2.013686297	1.289020284
frajo	1934	e	frajo_1934_e1	170.1686495	-43.4268606	86	7.14	2.557649612	0.218586311	8615.586912	7.14	-1.475841412	9.061328273	4.454347296	0.43112286	0.446346636	1.566877405	0.853336078
frajo	1958	a	frajo_1958_a1	170.1709978	-43.43956009	62	8.62	4.457291126	0.303069502	10052.97102	8.62	-1.161330062	9.215623494	4.127134385	1.663829749	0.154934606	1.821966378	0.957982341
frajo	1958	b	frajo_1958_b1	170.1708986	-43.43956664	62	8.18	5.211373329	0.33543545	16246.95268	8.18	-1.062949484	9.695660643	4.127134385	1.297349322	0.154934606	1.901759366	1.28355363
frajo	1958	d	frajo_1958_d1	170.1707769	-43.43952761	62	5.11	13.35937691	0.768286586	9975.425283	5.11	-0.25066046	9.207879876	4.127134385	-1.259684562	0.154934606	2.560578109	0.952730456
frajo	1958	e	frajo_1958_e1	170.1704279	-43.439591	62	4.88	22.71634293	1.626514316	8349.180922	4.88	0.492568563	9.02991872	4.127134385	-1.451253876	0.154934606	3.163384741	0.832033458
gango	1780	a	gango_1780_a1	79.064015	30.941391	239	6.63	0.299186051	0.026899543	2192.417789	6.63	-3.299556122	7.692760227	5.476463552	0.006338729	1.356631541	0.087727253	-0.074855553
gango	1780	b	gango_1780_b1	79.063808	30.941485	239	6.03	0.249009833	0.022861278	5439.32437	6.03	-3.415460284	8.601410135	5.476463552	-0.493407307	1.356631541	-0.006278492	0.541409924
gango	1780	c	gango_1780_c1	79.06352	30.941463	239	6.47	0.447034091	0.036410075	1187.900086	6.47	-3.070238717	7.079942393	5.476463552	-0.12692688	1.356631541	0.273718446	-0.490481495
gango	1780	d	gango_1780_d1	79.063273	30.94148	239	6.12	0.463940084	0.03756785	2946.700093	6.12	-3.045598162	7.988441211	5.476463552	-0.418445401	1.356631541	0.293703524	0.125681509
gango	1780	e	gango_1780_e1	79.063031	30.941512	239	5.9	0.53766942	0.046276379	6017.337626	5.9	-2.877480381	8.702400186	5.476463552	-0.601685615	1.356631541	0.430057878	0.6099035
gango	1817	a	gango_1817_a1	79.062802	30.940919	202	6.32	0.447425604	0.037205137	4722.688401	6.32	-3.053252551	8.460133493	5.308267697	-0.251863389	1.20683826	0.287495321	0.445593134
gango	1817	b	gango_1817_b1	79.063039	30.940959	202	5.97	0.331409842	0.027753549	7621.30031	5.97	-3.276675802	8.938702278	5.308267697	-0.54338191	1.20683826	0.106284666	0.770168549
gango	1817	c	gango_1817_c1	79.063217	30.9409	202	6.35	0.193157777	0.020333566	3983.482064	6.35	-3.495500398	8.289911606	5.308267697	-0.226876088	1.20683826	-0.071196182	0.330145071
gango	1817	d	gango_1817_d1	79.063487	30.940874	202	6.18	0.278875172	0.024601683	2154.05531	6.18	-3.363852956	7.675107535	5.308267697	-0.368470798	1.20683826	0.035578377	-0.086827979
gango	1817	e	gango_1817_e1	79.063821	30.940818	202	6.52	0.104281239	0	2018.163779	6.52	-4.605170186	7.609943357	5.308267697	-0.085281377	1.20683826	-0.971209888	-0.131023696
gango	1849	a	gango_1849_a1	79.06517	30.940231	170	6.79	0.19286783	0.020206921	1389.653097	6.79	-3.499684215	7.236809424	5.135798437	0.139604339	1.053239134	-0.074589527	-0.384090976
gango	1849	b	gango_1849_b1	79.065043	30.940068	170	6.36	0.349209785	0.029101158	1814.697495	6.36	-3.241603207	7.503674063	5.135798437	-0.218546987	1.053239134	0.134730801	-0.203097765
gango	1849	c	gango_1849_c1	79.064995	30.939906	170	6.34	0.575899959	0.0391251	1544.083629	6.34	-3.013385178	7.342185893	5.135798437	-0.235205188	1.053239134	0.31983033	-0.312622439
gango	1849	d	gango_1849_d1	79.065146	30.939842	170	6.39	0.324976087	0	2642.607912	6.39	-4.605170186	7.879521554	5.135798437	-0.193559685	1.053239134	-0.971209888	0.051809907
gango	1849	e	gango_1849_e1	79.064928	30.939643	170	6.52	0.278668404	0	2420.074784	6.52	-4.605170186	7.791553721	5.135798437	-0.085281377	1.053239134	-0.971209888	-0.007851727
gango	1935	a	gango_1935_a1	79.070879	30.935431	84	6.61	0.465674579	0.035275888	2289.497397	6.61	-3.094980669	7.736087595	4.430816799	-0.010319472	0.425390648	0.253651129	-0.045470021
gango	1935	b	gango_1935_b1	79.070661	30.935579	84	6.29	0.150863543	0	5955.474888	6.29	-4.605170186	8.692066225	4.430816799	-0.276850691	0.425390648	-0.971209888	0.60289479
gango	1935	c	gango_1935_c1	79.070422	30.935771	84	6.21	0.222802296	0.01822139	995.8304938	6.21	-3.567675096	6.903577056	4.430816799	-0.343483496	0.425390648	-0.129734513	-0.610096176
gango	1935	d	gango_1935_d1	79.070153	30.935879	84	6.04	0.145406052	0	5946.12047	6.04	-4.605170186	8.690494264	4.430816799	-0.485078206	0.425390648	-0.971209888	0.601828654
gango	1935	e	gango_1935_e1	79.069779	30.935846	84	6.22	0.837727666	0.065412864	1623.49073	6.22	-2.584777407	7.392333882	4.430816799	-0.335154395	0.425390648	0.667458852	-0.278611018
gango	1965	a	gango_1965_a1	79.074268	30.933502	54	6.85	0.072650798	0	1086.929116	6.85	-4.605170186	6.991111674	3.988984047	0.189578942	0.031899513	-0.971209888	-0.550728357
gango	1965	b	gango_1965_b1	79.074227	30.933343	54	6.88	0.109108113	0	1283.387405	6.88	-4.605170186	7.157258272	3.988984047	0.214566244	0.031899513	-0.971209888	-0.438044241
gango	1965	c	gango_1965_c1	79.074084	30.933359	54	6.36	0.100530095	0.016270449	5215.924668	6.36	-3.639310569	8.559471661	3.988984047	-0.218546987	0.031899513	-0.187835498	0.512966369
gango	1965	d	gango_1965_d1	79.074013	30.933205	54	6.35	0.196046188	0.023348056	3036.078646	6.35	-3.400755806	8.018322043	3.988984047	-0.226876088	0.031899513	0.005647788	0.145947317
gango	1965	e	gango_1965_e1	79.074042	30.933007	54	6.42	0.34515357	0.029685168	3141.919589	6.42	-3.226777773	8.052589226	3.988984047	-0.168572383	0.031899513	0.146755183	0.169188042
malad	1857	a	malad_1857_a1	0.641483	42.660869	161	5.89	3.9652	0.2536	7875.145027	5.89	-1.333322476	8.97146688	5.081404365	-0.610014715	1.004796403	1.682469446	0.79239019
malad	1857	b	malad_1857_b1	0.641288	42.660988	161	5.55	6.0192	0.4172	9993.373476	5.55	-0.850502991	9.2096775	5.081404365	-0.893204136	1.004796403	2.074067162	0.953949643
malad	1857	c	malad_1857_c1	0.641046	42.661041	161	5.32	5.532	0.4181	12994.5806	5.32	-0.848398466	9.472287672	5.081404365	-1.08477345	1.004796403	2.075774067	1.132057384
malad	1857	d	malad_1857_d1	0.64113	42.660961	161	5.13	7.7984	0.5737	21850.08464	5.13	-0.538368127	9.991960074	5.081404365	-1.243026361	1.004796403	2.327228651	1.484510136
malad	1857	e	malad_1857_e1	0.641371	42.660922	161	6.13	3.5592	0.2718	11183.31275	6.13	-1.26655768	9.322178014	5.081404365	-0.410116301	1.004796403	1.736619998	1.030249857
malad	1902	a	malad_1902_a1	0.641092	42.65951	116	5.98	2.4836	0.1489	14070.23844	5.98	-1.839480205	9.551817097	4.753590191	-0.53505281	0.712848894	1.27194291	1.185995913
malad	1902	b	malad_1902_b1	0.640817	42.659497	116	6.41	0.1914	0	2908.259936	6.41	-4.605170186	7.975310221	4.753590191	-0.176901484	0.712848894	-0.971209888	0.116775795
malad	1902	c	malad_1902_c1	0.640613	42.659404	116	6.08	0.3071	0	2829.526233	6.08	-4.605170186	7.947864568	4.753590191	-0.451761804	0.712848894	-0.971209888	0.098161576
malad	1902	d	malad_1902_d1	0.640346	42.659417	116	5.68	0.6657	0.0478	4768.123764	5.68	-2.850766503	8.469708166	4.753590191	-0.784925828	0.712848894	0.451724554	0.452086879
malad	1902	e	malad_1902_e1	0.640079	42.659433	116	5.87	0.6677	0.0484	7279.250941	5.87	-2.840439389	8.892783243	4.753590191	-0.626672916	0.712848894	0.460100509	0.739025293
malad	1957	a	malad_1957_a1	0.640348	42.658099	61	6.4	0.2332	0	3755.178537	6.4	-4.605170186	8.23089111	4.110873864	-0.185230585	0.140453174	-0.971209888	0.290116129
malad	1957	b	malad_1957_b1	0.640103	42.658154	61	6.24	0.3836	0.0282	3486.836999	6.24	-3.264919763	8.1567503	4.110873864	-0.318496194	0.140453174	0.115819572	0.239832273
malad	1957	c	malad_1957_c1	0.639923	42.658057	61	5.11	0.2598	0	2420.932281	5.11	-4.605170186	7.791907985	4.110873864	-1.259684562	0.140453174	-0.971209888	-0.007611458
