"glacier1","date1","plot1","date2","plot2","Plot1","Plot2","beta.bact","time_diff","beta.coll","beta.euka.uni","beta.euka.animals","beta.fung","beta.inse","beta.olig","beta.sper","beta.all.ani"
"adigi",1765,"c",1949,"a","adigi_1949_a","adigi_1765_c",0.818681318681319,184,1,0.764705882352941,0.5,0.912087912087912,0.9,1,1,0.84375
"adigi",1765,"c",1949,"b","adigi_1949_b","adigi_1765_c",0.893333333333333,184,1,0.8125,0.571428571428571,0.926315789473684,1,1,1,0.909090909090909
"adigi",1765,"c",1949,"c","adigi_1949_c","adigi_1765_c",0.893617021276596,184,1,0.75,0.666666666666667,0.914893617021277,1,1,1,0.903225806451613
"adigi",1765,"c",1949,"d","adigi_1949_d","adigi_1765_c",0.941605839416058,184,1,0.733333333333333,0.714285714285714,0.931372549019608,1,1,1,0.941176470588235
"adigi",1765,"c",1949,"e","adigi_1949_e","adigi_1765_c",0.902777777777778,184,1,0.705882352941177,0.571428571428571,0.91566265060241,1,1,1,0.909090909090909
"adigi",1765,"c",1963,"a","adigi_1963_a","adigi_1765_c",0.865979381443299,198,1,0.789473684210526,0.857142857142857,0.981481481481482,1,1,1,0.958333333333333
"adigi",1765,"c",1963,"b","adigi_1963_b","adigi_1765_c",0.922222222222222,198,1,0.684210526315789,1,0.95,1,1,1,1
"adigi",1765,"c",1963,"c","adigi_1963_c","adigi_1765_c",0.942857142857143,198,1,0.833333333333333,1,1,1,1,1,1
"adigi",1765,"c",1963,"d","adigi_1963_d","adigi_1765_c",0.923976608187134,198,1,0.75,0.875,0.928571428571429,1,1,1,0.962962962962963
"adigi",1765,"c",1963,"e","adigi_1963_e","adigi_1765_c",0.902857142857143,198,1,0.75,1,1,1,1,1,1
"adigi",1765,"c",1981,"a","adigi_1981_a","adigi_1765_c",0.932432432432432,216,1,0.7,1,0.936507936507937,1,1,1,1
"adigi",1765,"c",1981,"b","adigi_1981_b","adigi_1765_c",0.88,216,1,0.5625,0.857142857142857,0.933333333333333,1,1,1,0.96
"adigi",1765,"c",1981,"c","adigi_1981_c","adigi_1765_c",0.927710843373494,216,1,0.933333333333333,1,0.95,1,1,1,1
"adigi",1765,"c",1981,"d","adigi_1981_d","adigi_1765_c",0.87719298245614,216,1,0.9375,1,0.934426229508197,1,1,1,1
"adigi",1765,"c",1981,"e","adigi_1981_e","adigi_1765_c",0.923076923076923,216,1,0.733333333333333,1,0.930555555555556,1,1,1,1
"adigi",1765,"c",1981,"f","adigi_1981_f","adigi_1765_c",0.912280701754386,216,1,0.833333333333333,1,0.950819672131147,1,1,1,1
